StudyID,OwnData,Journal,Year,Volume,PageN,FirstAuthor,topic,MultipleStudies,tpf (total FINAL participants),Groups,General_notes,AlternativeHypothesis,"NullHypothesis (mentioned 1, not mentioned 0)",CommentsHypotheses,TypesCorrelation,CommentsCorrelation,apri_powercalculation,power_test,Effect_sizes for power calculations,Power_comments,Preregistration,Replication_exp_in_paper,comments_from_paper
93,1,SPPS,2019,10/2,227,Miller,"expertise bias, decision making",,1123,619;504,,directional,0,not clear how hypothesis relates to corr,Pearson,,1,"t, f","d=.20, f^2 =.02","""effect size in a t test (Cohen’s d ¼ .20) at .80 power, a sample
size of 310 per group would be required (Soper, 2017b). The t
tests in this study compare the judicial sample (n ¼ 619) to the
lay sample (n ¼ 504), so the group sizes far exceed this suggested
minimum.""

A priori power analysis suggested that in order to detect a
small effect size in multiple regression (Cohen’s f2 ¼ .02) at
.80 power with an interaction term (three total predictors), a
sample size of 543 would be required (Soper, 2017a); in order
to detect a medium effect size (Cohen’s f2 ¼ .15) under these
conditions, a sample size of 76 would be required. This study
included regression analyses with an interaction term among
the judicial sample alone (n ¼ 619) and among the combined
judicial and lay samples (N ¼ 1,123).",,,
94,0,SPPS,2019,10/2,235,Hadden,"close relationships, commitment",,422,,,directional,0,not related to corr,NA,,0,,,,,,
95,0,SPPS,2019,10/2,244,Jayamaha,"self-esteem, efficacy, social support",exp1,61,,N is couples,explorative,0,,NA,,1,r,0.2,"Power calc in SM -.> ""Power analyses using the Actor-Partner Interdependence Model (APIM) power module (Ackerman, Ledermann, & Kenny, 2016) indicates this sample and design (122 support interactions) provides adequate power (.90) to detect small (r = .20) actor and partner main effects when variables are moderately correlated across partners (r = .30). This fairly represents the context of the effect of self-esteem (r = .25).""",,,
96,1,SPPS,2019,10/2,244,Jayamaha,"self-esteem, efficacy, social support",exp2,85,,N is couples,directional,0,,Pearson,,0,,,only post hoc,,,
97,1,SPPS,2019,10/2,135,Tappin,"moral superiority, self-perception",,736,369;367,"N complicated to find, mentions two samples but not clear which analyses based on which sample",explorative,0,,"Spearman, also report graphically Bayesian correlations",,1,r,0.15,"""Sample sizes were determined via
power analyses: Our smallest effect size of interest was r ¼
.15, which we required N ¼ 343 to achieve 80% power (a ¼
.05) to detect in each of our three primary linear regression
analyses (Faul, Erdfelder, Buchner, & Lang, 2009). We deliberately
oversampled by approximately 20% to guard against
power loss due to planned data exclusions.""",1,,
98,1,SPPS,2019,10/2,257,Bonam,"sociocultural, racial identity, intergroup dynamic",exp1,153,,,directional,0,,NA,corr given as r =,0,,,,,1,conceptual replication
99,1,SPPS,2019,10/2,257,Bonam,"sociocultural, racial identity, intergroup dynamic",exp2,369,186;183,,directional,0,N for corr not clear,NA,corr given as r =,0,,,"seems like they did calculate some power but not clear how, for what effect and which test... ""Target sample size (N ¼ 364) was set for 80%
power given a pilot study’s effect size (see Supplemental Material).
Based""

power for pilot study = ""sample size 264 was set achieve at least 80% power given a small effect, which was assumed in the absence of prior relevant work. """,,,
100,1,EJP,2019,33/1,72,Bainbridge,"openess, pseudo-profound bullshit",exp1,140,,,exploratory,0,,Spearman,,1,r,0.24,"""Our target
sample size was N = 133, which provides 80% power to detect
a typical correlation in personality psychology (r = 0.24;
Fraley & Marks, 2007).""",,,
101,1,EJP,2019,33/1,72,Bainbridge,"openess, pseudo-profound bullshit",exp2,157,,,directional,0,,NA,,0,,,,1,,
102,1,EJP,2019,33/1,34,Coelho,"human values, multidimensional scaling",exp1,109,,,model testing,0,,correlation-like effect size,,0,,,,,,
103,1,EJP,2019,33/1,34,Coelho,"human values, multidimensional scaling",exp2,180,111;69,,model testing,0,,correlation-like effect size,,0,,,,,,
104,1,EJP,2019,33/1,34,Coelho,"human values, multidimensional scaling",exp3,156,,,model testing,0,,correlation-like effect size,,0,,,,,,
105,1,EJP,2019,33/1,34,Coelho,"human values, multidimensional scaling",exp4,107,,,model testing,0,,correlation-like effect size,,0,,,,,,
106,1,EJP,2019,33/1,34,Coelho,"human values, multidimensional scaling",exp5,253,167;86,,model testing,0,,correlation-like effect size,,0,,,,,1,conceptual replication in different country
107,1,EJP,2019,33/1,34,Coelho,"human values, multidimensional scaling",exp6,129,,,model testing,0,,correlation-like effect size,,0,,,,,,
108,1,EJP,2019,33/1,34,Coelho,"human values, multidimensional scaling",exp7,152,,,model testing,0,,correlation-like effect size,,0,,,,,,
109,1,EJP,2019,33/1,104,Hennecke,"self-regulation, self-control",exp1,465,245;220,,explorative,0,,NA,some corr given as r=,0,,,,,,
110,1,EJP,2019,33/1,104,Hennecke,"self-regulation, self-control",exp2,264,,,directional,0,,NA,some corr given as r=,0,,,,,,
111,1,EJP,2019,33/1,89,McAuliffe,"dictator game, trust, cooperation",,276,,,directional,0,not clear how hypothesis relates to corr,NA,"N for corr not clear, some corr given as r =",0,,,"""Our sample size allowed us to detect medium-sized effects
(r = 0.17) with 80% power. In addition, sample sizes
larger than 250 yield correlations that (i) have stabilized
within a tolerable degree of uncertainty (Schönbrodt &
Perugini, 2013) and (ii) provide a reasonable basis for specifying
the structural equation models of present interest
(Wolf, Harrington, Clark, & Miller, 2013).""",1,,
112,0,EJP,2019,33/1,52,Stavrova,"cynicism, health",exp1,40445,,,explorative,0,,NA,some corr given as r =,0,,,,,,
113,0,EJP,2019,33/1,52,Stavrova,"cynicism, health",exp2,15533,,N not clear,directional,0,,"Pearson, Spearman",,0,,,,,,
114,0,ChildDev,2019,90/5,1702,Dalimonte-Merckling,"temperament, parenting",,3001,,,directional,0,,NA,,0,,,post hoc power calc included,,,
115,1,ChildDev,2019,90/5,618,Devine,"individual differences, executive functions",,195,,,explorative,0,,NA,,1,f,0.15,"""The sample size was
determined a priori as part of the larger project to
investigate paternal and maternal influences on
children’s self-regulation in the first 2 years of life.
Allowing for 10% attrition, a sample of 210 participants
would provide 80% power to detect medium
effects (f2 = .15) at the .01 level of significance in
regression analyses with up to 10 predictors (Faul,
Erdfelder, Lang, & Buchner, 2007).""",,,
116,1,ChildDev,2019,90/5,1632,Elenbaas,"income, perception",,267,,,directional,0,,NA,corr given as r =,1,,,"Details of power calc not given -> ""Sample size
was determined using a priori power analyses for
the most complex models reported in this article,
which indicated that, expecting small to medium
effects, a minimum of approximately 233 participants
would be necessary to test our hypotheses.""",,,
117,0,ChildDev,2019,90/5,1490,Erentaite,"identity processing, prodiversity",,916,,,directional,0,,NA,,0,,,,,,
118,0,ChildDev,2019,90/5,565,Gooch,"speed of processing, language disorder",,528,,,directional,0,,NA,corr given as r =,0,,,,,,
119,1,ChildDev,2019,90/5,1718,Hoyniak,"socioeconomic context, sleep",,493,,,directional,0,,NA,,0,,,,,,
120,1,ChildDev,2019,90/5,1598,Jambon,"empathic concern, siblings",,452,,"not entirely whether dataset was external: ""Participants were drawn from the Kids, Families,
and Places project, an ongoing within-family longitudinal
study investigating the joint social and biological
influences on early socioemotional and
cognitive development (see Meunier, Boyle, O’Connor,
& Jenkins, 2013).""",directional,0,,NA,,0,,,,,,
121,1,ChildDev,2019,90/5,1579,Kaniusonyte,"loneliness, identity",,632,,,explorative,0,"no strong direction set, not mentioned that explorative",NA,,0,,,,,,
122,0,ChildDev,2019,90/5,1544,McCoy,"self-regulation, academic skills, low-income",,466,,,explorative,0,,NA,"correlation table in appendix, coded as not present in paper",0,,,,,,
123,1,ChildDev,2019,90/5,1614,Mills,"self-regulation, academic achievement",,403,,,explorative,0,couldnt find a clear hypothesis,NA,some corr given as r=,0,,,,,,
124,0,ChildDev,2019,90/5,1802,Morgan,"executive functions, academic achievement",,8920,,,explorative,0,,NA,,0,,,,,,
125,1,ChildDev,2019,90/5,1525,Pavani,"social cues, deafness",,66,16;19;17;14,,directional,0,,NA,corr given as r =,0,,,,,,
126,1,ChildDev,2019,90/5,1684,Raby ,"abuse, neglect, academic competence",,267,,,model testing,0,,NA,,0,,,,,,
127,1,ChildDev,2019,90/5,1559,Rachwami,"coordination, eye-tracking",,46,38;8,,directional,0,,NA,corr given as r =,0,,,,,,
128,0,ChildDev,2019,90/5,1738,Schacter,"bullying, depression",,5991,,"the full sample actually not used for any corr result, the percentage is not absolutely exact (gives quarters of participants",explorative,0,,NA,corr given as r =,0,,,,,,
129,1,ChildDev,2010,81/2,464,Campione-Barr,"siblings, conflict, relationships",,115,24;62;29,couldnt determine measures for variables,directional,0,,NA,,0,,,,,,
130,1,ChildDev,2010,81/2,472,Ferry,"categorization, words, neonates",,46,24;22,,explorative,0,not specified that explora,NA,corr given as r =,0,,,,,,
131,1,ChildDev,2010,81/2,528,Sauer,"brain lesions, gestures",,11,,,directional,0,,Spearman,,0,,,,,,
132,1,ChildDev,2010,81/2,540,Kartner,"mother-infant interaction, culture",,44,20;24,,directional,0,,Pearson,,0,,,,,,
133,1,ChildDev,2010,81/2,597,Low,"false-beliefs, implicit and explicit knowledge",exp1,24,,,directional,0,,NA,,0,,,,,,
134,1,ChildDev,2010,81/2,597,Low,"false-beliefs, implicit and explicit knowledge",exp2,36,,,directional,0,,NA,,0,,,,,,
135,1,ChildDev,2010,81/2,597,Low,"false-beliefs, implicit and explicit knowledge",exp3,42,,,directional,0,,NA,,0,,,,,1,
136,0,ChildDev,2010,81/2,636,Wray-Lake,"decision-making, autonomy, adolescence",,402,,,explorative,0,,NA,corr in methods section,0,,,,,,
137,1,DevPsy,2010,46/2,545,Berteletti,"numerical development, number representation",exp1,46,11;16;19,,directional,0,,Spearman,,0,,,,,,
138,1,DevPsy,2010,46/2,545,Berteletti,"numerical development, number representation",exp2,373,74;128;168,,directional,0,,NA,corr given as r= and rs= -> coded as pearson and spearman in corr data,0,,,,,,
139,1,DevPsy,2010,46/2,530,Pellicano,"autism, ToM, executive functions, central coherence",,37,26;9;2,,explorative,0,two competing hypotheses,"Sperman, Pearson, NA","some corr specified as Spearman, some unspecified, some Pearson",0,,,,,,
140,1,DevPsy,2010,46/2,502,Benjamin,"event memory, caregiver training",,121,24;24;24;24;25,,directional,0,,NA,some corr given as r =,0,,,,,,
141,1,DevPsy,2010,46/2,479,Rice,"narrative identity, adult development",,177,115;62,,directional,0,,NA,,0,,,,,,
142,0,DevPsy,2010,46/2,468,Lee,"adoption, institutional care",,612,230;382,,directional,0,,NA,some corr given as r=,0,,,,,,
143,1,DevPsy,2010,46/2,455,Feldman,"parenting, social competence",,162,100;62,,directional,0,,NA,some corr given as r=,0,,,,,,
144,1,DevPsy,2010,46/2,417,Leclercq,"short-term memory, verbal, vocabulary development",,60,,,directional,0,,NA,some corr given as r=,0,,,,,,
145,1,DevPsy,2010,46/2,391,McKenzie,"autism, reasoning",,52,32;20,,explorative,0,,NA,some corr given as r=,0,,,,,,
146,0,DevPsy,2010,46/2,379,Pluess,"temperament, differential susceptibility",,1364,,,explorative,0,,NA,some corr given as r=,0,,,,,,
147,1,DevPsy,2010,46/2,337,Waszak,"attentional networks, life span",,263,,,directional,0,,Pearson,N for corr not clear,0,,,,,,
148,1,DevPsy,2010,46/2,326,Berger,"perseveration, infancy",exp1,22,,,directional,0,,"NA, point-biserial",additional two pb corr reported with impossible values (> 1),0,,,,,,
149,1,DevPsy,2010,46/2,326,Berger,"perseveration, infancy",exp2,35,23;12,,directional,0,,NA,"some corr as r =, additional pb corr with value > 1",0,,,,,,
150,1,DevPsy,2010,46/2,310,Feldman,"aggression, toddler, conflict resolution",,141,86;55,,directional,0,,Pearson,,0,,,,,,
151,1,EJP,2010,24/2,85,Wacker,"EEG, Go/No-Go",,69,,,explorative,0,,NA,some corr given as r =,0,,,,,,
152,1,EJP,2010,24/2,123,Borkenau,"cognitive processes, personality types",,129,,,directional,0,,NA,some corr given as r =,0,,,,,,
153,1,EJP,2010,24/2,137,Schweizer,"bipolar items, item wording",,808,,,explorative,0,,NA,,0,,,,,,
154,1,EJP,2010,24/4,291,Kampfe,"personality, mood regulation, well-being",,1494,467;348;679,not clear where the samples came from,model testing,0,,Pearson,,0,,,,,,
155,1,EJP,2010,24/4,324,Asbrock,"authoritarianism, social dominance orientation, dual process model",,127,,,directional,0,,NA,,0,,,,,,
156,1,EJP,2010,24/4,341,Ziegler,"abilities, aptitudes, educational psychology",,145,,,directional,0,,NA,,0,,,,,,
157,0,JCPP,2010,51/6,725,de Haan,"aggression, deliquency, personality",,586,146;146;147;147,"Cannot find info about N in each cohort, the N per cohort si guesssed at by dividing total N/4, cohort sequential design with T1:586, T2:501, T3:466. When fraction, it is rounded",directional,0,,Pearson,as bivariate,0,,,,,,
158,1,JCPP,2010,51/6,652,Abubakar,"latent growth curves, stunting",,85,,,explorative,0,,NA,,0,,,,,,
159,0,JCPP,2010,51/6,679,Edwards,"externalizing behavior,",,250,,,explorative,0,,NA,r given as r =,0,,,,,,
160,1,JCPP,2010,51/6,696,Tadic,"visual impairment, social communication",,41,15;26,,explorative,0,,NA,r given as r =,0,,,,,,
161,1,JCPP,2010,51/6,706,Kim,"emotion regulation, maltreatment",,421,215;206,,directional,0,,NA,r given as r =,0,,,,,,
162,0,JCPP,2010,51/6,660,Petrill,"growth, twins, reading",,314,"179,135",,explorative,0,,NA,r given as r =,0,,,,,,
163,1,JCPP,2010,51/6,734,Silberg,"parental depression, family environment",,1043,,,directional,0,,NA,,0,,,,,,
164,1,JPSP,2010,99/5,725,Kay,"compensatory control, systém justification, God",exp1,74,,,directional,0,,NA,,0,,,,,,
165,1,JPSP,2010,99/5,740,Forbes,"math, attitude change",exp1,58,,,directional,0,,NA,r given as r =,0,,,,,,
166,1,JPSP,2010,99/5,740,Forbes,"math, attitude change",exp2,143,,,directional,0,,NA,r given as r =,0,,,,,,
167,1,JPSP,2010,99/5,740,Forbes,"math, attitude change",exp3,120,,,directional,0,,NA,r given as r =,0,,,,,,
168,1,JPSP,2010,99/5,771,Piff,"socioeconomic status, prosocial behaviour",exp2,81,,,directional,0,,NA,r given as r =,0,,,,,,
169,1,JPSP,2010,99/5,771,Piff,"socioeconomic status, prosocial behaviour",exp3,155,,,mediation,0,,NA,,0,,,,,,
170,1,JPSP,2010,99/5,785,Gibbons,"discrimination, affect, substance use",exp1,676,,,directional,0,,NA,r given as r =,0,,,,,,
171,1,JPSP,2010,99/5,785,Gibbons,"discrimination, affect, substance use",exp2,116,,,directional,0,,NA,r given as r =,0,,,,,,
172,1,JPSP,2010,99/5,870,Allik,"personality, cross-cultural",exp1,1678,304;218;811;345,,directional,0,,NA,,0,,,,,,
173,0,JPSP,2010,99/5,870,Allik,"personality, cross-cultural",exp2,29,,countries for which data are available. Number of participants not clear,explorative,0,,"NA, spearman",spearman specified as rank,0,,,,,,
174,1,SPPS,2010,1/4,311,Duckworth,"self-control, academic achievement",,189,,,explorative,0,,NA,r given as r =,0,,,,,,
175,1,SPPS,2010,1/4,302,Wiltermuth,"moral judgment, praise",exp1,114,,,explorative,0,,NA,r given as r =,0,,,,,,
176,1,SPPS,2010,1/4,302,Wiltermuth,"moral judgment, praise",exp2,119,,,directional,0,,NA,,0,,,,,,
177,1,SPPS,2010,1/4,302,Wiltermuth,"moral judgment, praise",exp3,112,,,explorative,0,,NA,r given as r =,0,,,,,,
178,1,SPPS,2010,1/4,327,Nave,"personality, observed behavior",,144,,,explorative,0,,NA,r given as r =,0,,,,,,
179,1,SPPS,2010,1/4,369,Wenzel,"forgiveness, interpersonal conflict",,112,,,explorative,0,,NA,,0,,,,,,
180,1,SPPS,2010,1/4,361,Mazzocco,"persuasion, social justice",exp1,137,,,directional,0,,NA,r given as r =,0,,,,,,
181,1,SPPS,2010,1/4,361,Mazzocco,"persuasion, social justice",exp2,298,,,directional,0,,NA,r given as r =,0,,,,,,
182,0,ChildDev,2010,81/4,1040,Becker-Blease,"victimization, mental health, disasters",,2030,,,directional,0,,NA,,0,,,,,,
183,1,ChildDev,2010,81/4,1053,Layne,"postwar menatl distress, adolescence",,881,,,directional,0,,NA,,0,,,"""Reduced power
(due to halving the sample), as well as restricted predictor
variance, likely played roles in reducing the
number of significant paths in both Subsample 2
models:""",,,
184,1,ChildDev,2010,81/4,1077,Stichick Betancourt,"child soldiers, traumatic events",,156,,,directional,0,,NA,,0,,,,,,
185,1,ChildDev,2010,81/4,1096,Klasen,"child soldiers, postraumatic resilience",,330,,,directional,0,,"Spearman, point-biserial",,0,,,,,,
186,1,ChildDev,2010,81/4,1114,Kithakye,"conflict, emotion regulation, disaster experience",,84,,,directional,0,,NA,,0,,,,,,
187,1,ChildDev,2010,81/4,1176,Catani,"natural disasters, psychosocial risk",,1398,364;474;263;296,,explorative,0,,NA,,0,,,,,,
188,1,ChildDev,2010,81/4,1192,Fernando,"daily stressors, disaster, psychosocial functioning",,427,,,directional,0,,NA,corr given as r =,0,,,,,,
189,1,ChildDev,2010,81/4,1211,Kilmer,"trauma, postraumatic growth",,66,,,directional,0,,NA,,0,,,"""The
study’s relatively small sample affected power, prohibited
the use of other statistical techniques, and
limited foci to the variables selected.""",,,
190,1,ChildDev,2010,81/4,1228,Vigil,"sex differences, cortisol",,115,62;53,,directional,0,,NA,,0,,,,,,
191,1,ChildDev,2010,81/4,1304,Vlamings,"face-processing, ERP",,70,20;25;25,,explorative,0,,NA,corr given as r =,0,,,,,,
192,1,DevPsy,2010,46/4,761,Bauer,"growth goals, ego development, traits",,145,,"T1 145, T2 87,",directional,0,,Pearson,,0,,,,,,
193,1,DevPsy,2010,46/4,773,Véronneau,"peer relations, social acceptance",,452,,,directional,0,,Pearson,,0,,,"""our
sample size, although relatively large, still provided limited power
to uncover possible gender differences relevant to outcomes""",,,
194,1,DevPsy,2010,46/4,791,Braungart-Rieker,"temperament, ,aternal sensitivity",,143,,,directional,0,,NA,corr given as r =,0,,,,,,
195,1,DevPsy,2010,46/4,805,Malvar Pargas,"maternal depression, resilience",,648,,,directional,0,,NA,,0,,,,,,
196,1,DevPsy,2010,46/4,827,Cummings,"political violence, social-ecological hypothesis",,700,,,directional,0,,NA,corr given as r =,0,,,,,,
197,1,DevPsy,2010,46/4,842,Cox,"gender role, emotion expression",,316,163;153,,directional,0,,NA,,0,,,,,,
198,1,DevPsy,2010,46/4,869,Schermerhorn,"intraparental conflict, bidirectionality",,111,,,directional,0,,NA,corr given as r =,0,,,,,,
199,1,DevPsy,2010,46/4,905,Kartner,"prosocial behaviour, empathy",,77,39;38,,directional,0,,point-biserial,not specified for all correl,0,,,,,,
200,0,DevPsy,2010,46/4,915,Jokela,"cognitive ability, fertility, temperament",,7695,,,directional,0,,Pearson,,0,,,,,,
201,1,DevPsy,2010,46/4,939,Hertzog,"learning, metacognition",,285,,,directional,0,,gamma,,0,,,,,,
202,1,DevPsy,2010,46/4,949,Geiger,"sleep, intelligence",,60,,,explorative,0,,NA,corr given as r=,0,,,,,,
203,1,JCPP,2010,51/8,953,Mrug,"violence exposure, internalizing, externalizing",,603,,,directional,0,,NA,,0,,,,,,
204,0,JCPP,2010,51/8,871,Sterba,"dvelopment, factor analysis",,4500,,,explorative,0,,factor correlations,,0,,,,,,
205,1,JCPP,2010,51/8,935,Gabbay,"adolescent depression, kynurenine",,72,,,directional,0,,NA,corr given as r=,0,,,power calculated post-hoc for individual analyses,,,
206,1,JCPP,2010,51/8,895,Lambek,"ADHD, executive function deficit",,48,22;26,,directional,0,,NA,corr given as r=,0,,,,,,
207,1,SPPS,2010,1/2,111,Waroquier,"unconscious thought, conscious thought, first impression",,39,,,explorative,0,,NA,corr given as r=,0,,,,,1,"""we
also aimed at offering a conceptual replication of the study conducted
by Dijksterhuis et al. (2006, Experiment 3)"""
208,1,SPPS,2010,1/2,190,Čehajic,"acknowledgment, intergroup contact",,284,,,directional,0,,NA,,0,,,,,,
209,1,SPPS,2010,1/2,182,Vaughn Becker,"encoding, memory",,89,,,explorative,0,,NA,corr given as r=,0,,,,,,
210,1,SPPS,2010,1/2,143,Friese,"attention, self-regulation",,49,,,directional,0,,NA,,0,,,,,,
211,1,SPPS,2010,1/2,160,Yoon,"transactive memory, culture",,114,58;56,,directional,0,,NA,corr given as r=,0,,,,,,
212,1,JPSP,2010,98/3,343,Rule,"social categorization, person perception",exp1,72,,,explorative,0,,NA,corr given as r=,0,,,,,,
213,1,JPSP,2010,98/3,343,Rule,"social categorization, person perception",exp2,58,,,directional,0,,NA,corr given as r=,0,,,,,,
214,1,JPSP,2010,98/3,343,Rule,"social categorization, person perception",exp3,102,46;56,,directional,0,,NA,corr given as r=,0,,,,,,
215,1,JPSP,2010,98/3,356,Degner,"automatic attitudes, implicit prejudice",exp1,304,,,explorative,0,,NA,corr given as r=,0,,,,,,
216,1,JPSP,2010,98/3,356,Degner,"automatic attitudes, implicit prejudice",exp2,264,,,explorative,0,,NA,corr given as r=,0,,,,,,
217,1,JPSP,2010,98/3,356,Degner,"automatic attitudes, implicit prejudice",exp3,141,,,directional,0,,NA,corr given as r=,0,,,,,,
218,1,JPSP,2010,98/3,356,Degner,"automatic attitudes, implicit prejudice",exp4,129,,,directional,0,,NA,corr given as r=,0,,,,,,
219,1,JPSP,2010,98/3,405,Ford,"interpersonal rejection, self-esteem",,78,,,directional,0,,NA,corr given as r=,0,,,,,,
220,1,JPSP,2010,98/3,469,Thrash,"inspiration, creativity, productivity",exp1,157,,,directional,0,,NA,corr given as r=,0,,,,,,
221,1,JPSP,2010,98/3,469,Thrash,"inspiration, creativity, productivity",exp2,148,,,directional,0,,NA,corr given as r=,0,,,,,,
222,1,JPSP,2010,98/3,469,Thrash,"inspiration, creativity, productivity",exp3,188,,,explorative,0,,NA,corr given as r=,0,,,,,,
223,1,JPSP,2010,98/3,469,Thrash,"inspiration, creativity, productivity",exp4,162,,,explorative,0,,NA,corr given as r=,0,,,,,,
224,1,JPSP,2010,98/3,488,Thrash,"inspiration, positive affect",exp1,79,,,directional,0,,NA,corr given as r=,0,,,,,,
225,1,JPSP,2010,98/3,488,Thrash,"inspiration, positive affect",exp2,220,,,directional,0,,NA,corr given as r=,0,,,,,,
226,1,JPSP,2010,98/3,488,Thrash,"inspiration, positive affect",exp3,139,,,explorative,0,,NA,,0,,,,,1,
227,1,JPSP,2010,98/3,520,Srivastava,"social perception, prceiver effect",exp1,423,,,exploratory,0,,NA,,0,,,,,,
228,1,JPSP,2010,98/3,520,Srivastava,"social perception, prceiver effect",exp2,152,,,exploratory,0,,NA,,0,,,,,,
229,1,EJP,2010,24/6,515,Sibley,"attitudes, social groups",,454,,,directional,0,,NA,corr given as r=,0,,,,,,
230,1,EJP,2010,24/6,535,Steinmayr,"parents' education, academic achievement",,580,,,directional,0,,product moment ,not clear which corr significant ,0,,,,,,
231,1,EJP,2010,24/6,551,Vermeuelen,"alexithymia, anger, memory",,107,,,directional,0,,NA,,0,,,,,,
232,1,JCPP,2010,51/10,1125,Wai Wan,"conduct disorder, maternal depression",,77,,,exploratory,0,,"spearman, NA",,0,,,,,,
233,1,JCPP,2010,51/10,1141,Hunter,"appraisal, depression",,924,,number of participants in abstract and methods differ,directional,0,,NA,,0,,,,,,
234,1,JCPP,2010,51/10,1132,Briggs-Gowan,"posttraumatic stress, early childhood",,213,,,directional,0,,point-biserial,,0,,,"""Logistic regression analyses were not conducted
due to the limited statistical power.""",,,
235,1,JCPP,2010,51/10,1150,Murray,"academic performance, cognitive development, IQ",,89,50;39,,explorative,0,,NA,corr given as r=,0,,,,,,
236,1,JCPP,2010,51/10,1160,Kersten-Alvarez,"postpartum depression, mother child interactions",,58,29;29,,directional,0,,NA,,0,,,"""Power analysis was performed with 29 cases per level
(power > .80, p < .05), which showed an effect size of
.38 or higher to be measurable given the number of
participants in this follow-up study.""",,,
237,1,JCPP,2010,51/10,1115,Sprung,"PTSD, intrusive thoughts",,165,,,explorative,0,,NA,corr given as r=,0,,,,,,
238,1,SPPS,2010,1/3,274,Carter,"judgment, decision making",,29,,,directional,0,,NA,corr given as r=,0,,,,,,
239,1,SPPS,2010,1/3,246,Rutjens,"compensatory control, belief in progress",,43,,,directional,0,,NA,corr given as r=,0,,,,,,
240,0,SPPS,2010,1/3,222,Keith Campbell,"culture, cognition",,1270,351;919,,explorative,0,,Pearson,corr given as r=,0,,,,,,
241,1,SPPS,2010,1/3,280,Sadler,"personality,anxiety",,37,,,directional,0,,NA,,0,,,,,,
242,1,SPPS,2010,1/3,206,Samochowiec,"person perception, politics",exp1,403,,,directional,0,,NA,corr given as r=,0,,,,,,
243,1,SPPS,2010,1/3,206,Samochowiec,"person perception, politics",exp2,40,,,explorative,0,,NA,corr given as r=,0,,,,,,
244,1,SPPS,2010,1/3,206,Samochowiec,"person perception, politics",exp3,53,,,explorative,0,,NA,corr given as r=,0,,,"""We acknowledge, however, that perhaps with greater
power significant differences may have emerged.""",,,
